spot_id,stake_label,pot_type,spot_name,opportunities,bet_pct,check_pct,fold_pct,call_pct,raise_pct,no_response_pct,avg_size_pct,avg_facing_size_pct,raw_action_counts,benchmark_flag,leak_note,benchmark_metric,benchmark_low,benchmark_high,deviation_pp,confidence,exploit_score
FOLD_TO_DELAYED_CBET_IP,PL25,4bet+,"Fold/call/raise vs delayed c-bet, responder IP",1,0.0,0.0,100.0,0.0,0.0,0.0,,33.0,"{""fold"": 1}",low_sample,sample below min-sample,fold_pct,35.0,60.0,40.0,IGNORE,4.0
FOLD_TO_DELAYED_CBET_IP,PL25,srp,"Fold/call/raise vs delayed c-bet, responder IP",108,0.0,0.0,46.3,48.1,5.6,0.0,50.2,68.1,"{""fold"": 50, ""call"": 52, ""raise_or_allin"": 6}",OK,inside benchmark band,fold_pct,35.0,60.0,0.0,MEDIUM,0.0
FOLD_TO_DELAYED_CBET_IP,PL50,3bet,"Fold/call/raise vs delayed c-bet, responder IP",101,0.0,0.0,62.4,33.7,4.0,0.0,41.1,62.9,"{""fold"": 63, ""call"": 34, ""raise_or_allin"": 4}",HIGH,IP overfolds vs delayed c-bet; OOP delayed c-bets can bluff more,fold_pct,35.0,60.0,2.4,MEDIUM,1.68
FOLD_TO_DELAYED_CBET_IP,PL50,4bet+,"Fold/call/raise vs delayed c-bet, responder IP",7,0.0,0.0,85.7,14.3,0.0,0.0,30.4,50.5,"{""fold"": 6, ""call"": 1}",low_sample,sample below min-sample,fold_pct,35.0,60.0,25.7,IGNORE,2.57
FOLD_TO_DELAYED_CBET_IP,PL50,srp,"Fold/call/raise vs delayed c-bet, responder IP",192,0.0,0.0,49.0,45.8,5.2,0.0,50.2,65.2,"{""call"": 88, ""fold"": 94, ""raise_or_allin"": 10}",OK,inside benchmark band,fold_pct,35.0,60.0,0.0,MEDIUM,0.0
FOLD_TO_DELAYED_CBET_OOP,PL100,3bet,"Fold/call/raise vs delayed c-bet, responder OOP",13,0.0,0.0,76.9,23.1,0.0,0.0,32.6,63.0,"{""fold"": 10, ""call"": 3}",low_sample,sample below min-sample,fold_pct,35.0,60.0,16.9,IGNORE,1.69
FOLD_TO_DELAYED_CBET_OOP,PL100,srp,"Fold/call/raise vs delayed c-bet, responder OOP",67,0.0,0.0,61.2,31.3,7.5,0.0,50.1,62.8,"{""call"": 21, ""fold"": 41, ""raise_or_allin"": 5}",HIGH,OOP overfolds vs delayed c-bet; IP delayed c-bets can bluff more,fold_pct,35.0,60.0,1.2,LOW,0.48
FOLD_TO_DELAYED_CBET_OOP,PL25,3bet,"Fold/call/raise vs delayed c-bet, responder OOP",26,0.0,0.0,50.0,38.5,11.5,0.0,53.5,53.6,"{""fold"": 13, ""raise_or_allin"": 3, ""call"": 10}",low_sample,sample below min-sample,fold_pct,35.0,60.0,0.0,IGNORE,0.0
FOLD_TO_DELAYED_CBET_OOP,PL25,srp,"Fold/call/raise vs delayed c-bet, responder OOP",146,0.0,0.0,56.8,39.0,4.1,0.0,47.1,63.5,"{""call"": 57, ""fold"": 83, ""raise_or_allin"": 6}",OK,inside benchmark band,fold_pct,35.0,60.0,0.0,MEDIUM,0.0
FOLD_TO_DELAYED_CBET_OOP,PL50,3bet,"Fold/call/raise vs delayed c-bet, responder OOP",57,0.0,0.0,61.4,31.6,7.0,0.0,52.7,61.8,"{""fold"": 35, ""call"": 18, ""raise_or_allin"": 4}",HIGH,OOP overfolds vs delayed c-bet; IP delayed c-bets can bluff more,fold_pct,35.0,60.0,1.4,LOW,0.56
FOLD_TO_DELAYED_CBET_OOP,PL50,4bet+,"Fold/call/raise vs delayed c-bet, responder OOP",4,0.0,0.0,50.0,25.0,25.0,0.0,51.1,67.7,"{""raise_or_allin"": 1, ""fold"": 2, ""call"": 1}",low_sample,sample below min-sample,fold_pct,35.0,60.0,0.0,IGNORE,0.0
FOLD_TO_DELAYED_CBET_OOP,PL50,srp,"Fold/call/raise vs delayed c-bet, responder OOP",297,0.0,0.0,53.5,40.7,5.7,0.0,49.2,64.4,"{""fold"": 159, ""call"": 121, ""raise_or_allin"": 17}",OK,inside benchmark band,fold_pct,35.0,60.0,0.0,MEDIUM,0.0
FOLD_TO_FLOP_CBET,PL100,3bet,Fold/call/raise vs flop c-bet,169,0.0,0.0,47.9,33.1,18.9,0.0,73.9,63.0,"{""call"": 56, ""fold"": 81, ""raise_or_allin"": 32}",audit_required,definition audit unresolved: analyzer results do not match the comparison CoinPoker HUD range; do not infer strategy until denominator equivalence is established,fold_pct,25.0,45.0,0.0,MEDIUM,0.0
